UF;Município;Ano 2021;Completa;Simplificada;Original;Retificadora;IAP;IAR;SSI;Pré-Preenchida;PGD;APP;Online;Restituição Conta; Restituição PIX; Final Espólio; Saída Definitiva; Feminino; Média Idade;Ano 2020;Ano 2019;Ano 2018
AC;ACRELANDIA;774;250;524;660;114;170;410;194;2;743;28;3;410;0;0;0;339;44;708;694;651
AC;ASSIS BRASIL;530;174;356;468;62;116;311;103;1;505;24;1;311;0;0;0;251;43;447;433;425
AC;BRASILEIA;2.000;711;1.289;1.771;229;425;1.119;456;5;1.946;51;3;1.119;0;0;0;927;46;1.771;1.802;1.618
AC;BUJARI;551;220;331;482;69;117;340;94;3;516;33;2;340;0;0;0;259;45;512;485;417
AC;CAPIXABA;387;102;285;355;32;89;209;89;6;378;9;0;209;0;0;0;177;45;352;335;311
AC;CRUZEIRO DO SUL;8.151;3.900;4.251;7.134;1.017;1.423;5.429;1.299;29;7.901;213;37;5.429;0;0;1;3.672;43;7.543;7.088;6.726
AC;EPITACIOLANDIA;1.336;538;798;1.166;170;306;732;298;12;1.290;35;11;732;0;0;1;544;44;1.229;1.139;1.063
AC;FEIJO;1.533;574;959;1.380;153;423;854;256;3;1.471;61;1;854;0;0;1;731;44;1.494;1.315;1.200
AC;JORDAO;168;62;106;147;21;56;96;16;0;163;5;0;96;0;0;0;80;41;155;153;130
AC;MANCIO LIMA;895;436;459;777;118;212;611;72;3;874;14;7;611;0;0;0;488;46;810;742;674
AC;MANOEL URBANO;384;125;259;357;27;83;202;99;0;375;8;1;202;0;0;0;175;45;421;433;404
AC;MARECHAL THAUMATURGO;454;211;243;394;60;76;326;52;0;452;2;0;326;0;0;0;250;41;398;402;356
AC;PLACIDO DE CASTRO;1.188;407;781;1.058;130;302;601;285;6;1.096;84;8;601;0;0;0;566;47;1.121;1.031;970
AC;PORTO ACRE;730;290;440;660;70;148;412;170;3;700;27;3;412;0;0;0;363;46;718;672;582
AC;PORTO WALTER;305;83;222;282;23;56;210;39;1;304;1;0;210;0;0;0;162;41;269;185;160
AC;RIO BRANCO;59.380;28.217;31.163;53.104;6.276;10.676;39.297;9.407;815;56.460;2.377;543;39.297;0;2;18;28.712;46;56.196;54.553;52.537
AC;RODRIGUES ALVES;518;299;219;449;69;161;316;41;0;502;13;3;316;0;0;0;256;41;491;365;353
AC;SANTA ROSA DO PURUS;247;103;144;193;54;64;156;27;0;210;36;1;156;0;0;0;86;39;183;166;179
AC;SENA MADUREIRA;2.413;878;1.535;2.142;271;496;1.413;504;17;2.327;76;10;1.413;0;0;1;1.062;45;2.399;2.324;2.296
AC;SENADOR GUIOMARD;1.717;710;1.007;1.495;222;432;1.061;224;17;1.634;76;7;1.061;0;0;0;809;46;1.563;1.473;1.454
AC;TARAUACA;1.946;721;1.225;1.739;207;475;1.190;281;8;1.902;33;11;1.190;0;0;0;938;44;1.840;1.715;1.599
AC;XAPURI;1.355;420;935;1.222;133;264;793;298;3;1.186;165;4;793;0;0;0;626;47;1.292;1.188;1.100
AL;AGUA BRANCA;786;272;514;719;67;163;528;95;3;762;23;1;528;0;0;0;369;45;689;630;569
AL;ANADIA;680;202;478;624;56;213;309;158;4;660;17;3;309;0;0;0;356;49;629;625;820
AL;ARAPIRACA;22.231;8.370;13.861;20.040;2.191;5.738;9.686;6.807;278;21.267;792;172;9.686;0;0;1;10.102;44;20.655;19.613;18.505
AL;ATALAIA;1.393;660;733;1.256;137;303;830;260;4;1.330;52;11;830;0;0;0;665;46;1.200;1.137;1.179
AL;BARRA DE SANTO ANTONIO;599;242;357;541;58;138;331;130;1;589;9;1;331;0;0;0;249;49;469;469;407
AL;BARRA DE SAO MIGUEL;636;324;312;570;66;147;324;165;2;614;14;8;324;0;2;2;275;49;502;459;458
AL;BATALHA;795;269;526;734;61;153;430;212;8;761;26;8;430;0;0;0;398;45;750;748;703
AL;BELEM;158;59;99;145;13;46;79;33;0;141;13;4;79;0;0;0;84;46;145;151;139
AL;BELO MONTE;153;48;105;133;20;16;107;30;0;142;11;0;107;0;0;0;86;44;114;127;112
AL;BOCA DA MATA;1.337;617;720;1.217;120;260;890;187;2;1.286;46;5;890;0;0;1;587;47;1.217;1.243;1.032
AL;BRANQUINHA;199;48;151;187;12;55;110;34;2;185;14;0;110;0;0;0;102;46;175;164;142
AL;CACIMBINHAS;406;123;283;368;38;123;152;131;4;398;7;1;152;0;0;0;207;47;367;355;354
AL;CAJUEIRO;638;293;345;579;59;189;344;105;0;628;8;2;344;0;0;0;329;49;597;626;603
AL;CAMPESTRE;273;94;179;252;21;75;144;54;0;269;3;1;144;0;0;0;134;47;240;225;212
AL;CAMPO ALEGRE;1.628;624;1.004;1.466;162;344;987;297;5;1.557;63;8;987;0;0;0;614;44;1.298;1.208;1.092
AL;CAMPO GRANDE;238;57;181;219;19;37;119;82;0;231;6;1;119;0;0;0;103;44;222;216;214
AL;CANAPI;417;152;265;373;44;68;229;120;0;407;9;1;229;0;0;0;244;47;363;357;329
AL;CAPELA;682;285;397;600;82;215;342;125;2;654;25;3;342;0;0;2;340;48;599;572;599
AL;CARNEIROS;304;128;176;271;33;99;151;54;0;296;8;0;151;0;0;0;170;44;248;224;213
AL;CHA PRETA;242;111;131;212;30;76;115;51;1;236;6;0;115;0;0;1;136;49;204;213;187
AL;COITE DO NOIA;367;113;254;327;40;84;188;95;3;347;20;0;188;0;0;0;184;44;333;304;299
AL;COLONIA LEOPOLDINA;694;134;560;633;61;202;319;173;5;667;18;9;319;0;0;0;355;47;636;623;570
AL;COQUEIRO SECO;297;143;154;264;33;65;185;47;5;280;17;0;185;0;0;0;117;51;263;258;244
AL;CORURIPE;3.357;1.181;2.176;3.008;349;607;1.880;870;4;3.131;209;17;1.880;0;0;3;1.127;45;2.851;2.939;2.931
AL;CRAIBAS;569;160;409;519;50;142;226;201;1;553;13;3;226;0;0;0;245;41;495;468;409
AL;DELMIRO GOUVEIA;3.699;1.501;2.198;3.353;346;791;2.176;732;30;3.468;213;18;2.176;0;0;0;1.379;45;3.209;3.032;2.873
AL;DOIS RIACHOS;337;100;237;301;36;110;144;83;1;306;28;3;144;0;0;0;179;46;297;298;268
AL;ESTRELA DE ALAGOAS;331;95;236;301;30;80;119;132;4;318;11;2;119;0;0;0;154;44;284;287;340
AL;FEIRA GRANDE;545;170;375;484;61;159;253;133;0;534;10;1;253;0;0;0;249;45;516;486;437
AL;FELIZ DESERTO;142;57;85;129;13;36;65;41;0;136;5;1;65;0;0;0;75;49;127;136;124
AL;FLEXEIRAS;253;78;175;221;32;42;177;34;0;242;5;6;177;0;0;0;124;46;214;174;147
AL;GIRAU DO PONCIANO;1.026;375;651;931;95;240;558;228;6;986;34;6;558;0;0;0;528;45;915;904;825
AL;IBATEGUARA;394;158;236;355;39;68;229;97;0;371;19;4;229;0;0;0;214;45;374;357;332
AL;IGACI;754;261;493;680;74;273;293;188;5;732;21;1;293;0;0;0;391;46;700;670;651
AL;IGREJA NOVA;575;190;385;524;51;100;317;158;1;563;10;2;317;0;0;0;266;46;558;495;456
AL;INHAPI;378;136;242;347;31;91;210;77;1;371;7;0;210;0;0;0;225;45;344;316;276
AL;JACARE DOS HOMENS;165;49;116;151;14;44;86;35;4;163;2;0;86;0;0;0;90;48;145;128;122
AL;JACUIPE;220;56;164;205;15;54;133;33;0;216;4;0;133;0;0;0;115;47;198;181;167
AL;JAPARATINGA;341;126;215;316;25;56;174;111;2;332;8;1;174;0;0;0;160;47;341;275;264
AL;JARAMATAIA;167;50;117;150;17;44;92;31;2;158;8;1;92;0;0;0;83;44;158;154;144
AL;JEQUIA DA PRAIA;257;107;150;230;27;58;115;84;1;255;2;0;115;0;0;0;120;45;216;221;232
AL;JOAQUIM GOMES;472;75;397;437;35;81;224;167;0;464;5;3;224;0;0;0;237;46;479;434;413
AL;JUNDIA;154;39;115;141;13;34;71;49;0;151;3;0;71;0;0;0;81;45;133;121;104
AL;JUNQUEIRO;989;397;592;924;65;154;586;249;1;955;29;5;586;0;0;0;440;44;900;879;819
AL;LAGOA DA CANOA;595;194;401;532;63;157;271;167;1;582;9;4;271;0;0;0;287;44;535;510;463
AL;LIMOEIRO DE ANADIA;684;193;491;634;50;124;371;189;6;636;48;0;371;0;0;0;365;42;619;605;534
AL;MACEIO;154.458;86.493;67.965;139.278;15.180;36.021;84.138;34.299;2.762;147.458;5.328;1.672;84.138;0;6;132;74.097;49;144.947;140.603;136.399
AL;MAJOR ISIDORO;622;172;450;569;53;186;295;141;9;610;10;2;295;0;0;0;364;48;556;561;547
AL;MAR VERMELHO;144;65;79;121;23;30;94;20;0;142;1;1;94;0;0;0;68;48;132;109;106
AL;MARAGOGI;1.490;454;1.036;1.384;106;321;609;560;6;1.448;35;7;609;0;0;0;705;46;1.380;1.333;1.201
AL;MARAVILHA;461;143;318;411;50;101;256;104;1;452;6;3;256;0;0;0;224;46;373;365;334
AL;MARECHAL DEODORO;5.871;2.868;3.003;5.309;562;1.072;3.482;1.317;71;5.540;281;50;3.482;0;0;2;2.521;48;5.132;4.778;4.240
AL;MARIBONDO;537;205;332;479;58;205;190;142;3;523;5;9;190;0;0;0;271;47;502;460;415
AL;MATA GRANDE;795;182;613;755;40;124;513;158;2;780;15;0;513;0;0;0;491;49;796;807;897
AL;MATRIZ DE CAMARAGIBE;1.004;336;668;922;82;230;472;302;1;978;25;1;472;0;0;0;459;47;925;949;885
AL;MESSIAS;512;215;297;457;55;94;310;108;0;483;29;0;310;0;0;0;189;46;433;399;403
AL;MINADOR DO NEGRAO;162;49;113;145;17;54;66;42;1;161;1;0;66;0;0;0;86;48;145;144;134
AL;MONTEIROPOLIS;196;102;94;173;23;33;135;28;0;190;6;0;135;0;0;0;127;44;177;166;173
AL;MURICI;998;405;593;890;108;228;492;278;1;958;32;8;492;0;0;1;505;46;893;867;868
AL;NOVO LINO;347;98;249;324;23;115;118;114;0;333;14;0;118;0;0;0;158;46;320;289;272
AL;OLHO DAGUA DAS FLORES;1.062;386;676;969;93;304;427;331;11;1.030;27;5;427;0;0;0;514;46;959;905;891
AL;OLHO DAGUA DO CASADO;267;98;169;242;25;63;139;65;2;261;5;1;139;0;0;0;140;43;236;194;161
AL;OLHO DAGUA GRANDE;89;34;55;81;8;28;39;22;0;82;1;6;39;0;0;0;46;44;80;77;77
AL;OLIVENCA;253;94;159;233;20;69;133;51;1;244;9;0;133;0;0;0;122;46;245;234;216
AL;OURO BRANCO;463;221;242;404;59;97;228;138;3;453;8;2;228;0;0;0;244;47;398;428;378
AL;PALESTINA;175;49;126;162;13;44;109;22;0;168;3;4;109;0;0;0;116;48;154;164;141
AL;PALMEIRA DOS INDIOS;5.653;2.371;3.282;5.194;459;1.504;2.642;1.507;88;5.487;122;44;2.642;0;0;1;2.725;48;5.358;5.234;5.146
AL;PAO DE ACUCAR;1.183;511;672;1.042;141;294;696;193;4;1.152;21;10;696;0;0;0;615;49;1.093;1.052;955
AL;PARICONHA;392;138;254;361;31;80;236;76;1;384;8;0;236;0;0;0;172;44;356;337;287
AL;PARIPUEIRA;771;345;426;705;66;162;400;209;7;729;36;6;400;0;0;0;335;51;679;598;558
AL;PASSO DE CAMARAGIBE;395;141;254;360;35;56;246;93;1;385;10;0;246;0;0;0;204;48;389;365;294
AL;PAULO JACINTO;228;106;122;201;27;83;83;62;1;226;2;0;83;0;0;0;103;49;200;194;177
AL;PENEDO;4.676;2.107;2.569;4.169;507;1.115;2.496;1.065;22;4.503;147;26;2.496;0;1;1;2.138;49;4.254;4.042;3.870
AL;PIACABUCU;680;257;423;607;73;185;330;165;2;663;15;2;330;0;0;0;348;49;594;605;580
AL;PILAR;2.135;964;1.171;1.917;218;429;1.356;350;9;2.045;84;6;1.356;0;0;0;842;47;1.859;1.766;1.671
AL;PINDOBA;76;37;39;70;6;34;24;18;0;73;2;1;24;0;0;0;38;47;70;69;70
AL;PIRANHAS;1.414;626;788;1.271;143;378;766;270;9;1.341;61;12;766;0;1;0;646;45;1.304;1.227;1.136
AL;POCO DAS TRINCHEIRAS;259;99;160;230;29;52;142;65;0;243;15;1;142;0;0;0;131;46;210;215;207
AL;PORTO CALVO;1.386;441;945;1.282;104;292;574;520;1;1.338;42;6;574;0;0;1;606;46;1.286;1.263;1.159
