UF;Município;Ano 2021;Completa;Simplificada;Original;Retificadora;IAP;IAR;SSI;Pré-Preenchida;PGD;APP;Online;Restituição Conta; Restituição PIX; Final Espólio; Saída Definitiva; Feminino; Média Idade;Ano 2020;Ano 2019;Ano 2018
AL;PORTO DE PEDRAS;281;91;190;265;16;52;143;86;1;278;3;0;143;0;0;0;141;47;259;221;199
AL;PORTO REAL DO COLEGIO;693;268;425;617;76;209;349;135;1;667;21;5;349;0;0;0;325;48;580;556;517
AL;QUEBRANGULO;412;160;252;372;40;140;184;88;1;397;15;0;184;0;0;0;210;50;373;377;360
AL;RIO LARGO;4.769;2.001;2.768;4.264;505;1.001;2.796;972;13;4.459;281;29;2.796;0;0;3;1.761;47;4.144;3.905;3.585
AL;ROTEIRO;179;52;127;167;12;39;104;36;1;172;7;0;104;0;0;0;91;45;157;143;123
AL;SANTA LUZIA DO NORTE;370;158;212;335;35;81;227;62;1;355;15;0;227;0;0;1;163;48;364;362;318
AL;SANTANA DO IPANEMA;2.739;1.216;1.523;2.459;280;737;1.307;695;30;2.636;82;21;1.307;0;0;0;1.372;47;2.446;2.317;2.207
AL;SANTANA DO MUNDAU;318;83;235;296;22;93;168;57;0;310;8;0;168;0;0;0;179;47;279;254;211
AL;SAO BRAS;227;80;147;207;20;55;141;31;5;222;4;1;141;0;0;0;122;51;217;208;200
AL;SAO JOSE DA LAJE;1.288;382;906;1.151;137;256;861;171;5;1.071;208;9;861;0;0;0;343;44;1.020;967;932
AL;SAO JOSE DA TAPERA;1.215;533;682;1.097;118;419;532;264;2;1.191;19;5;532;0;0;0;578;43;1.103;1.027;968
AL;SAO LUIS DO QUITUNDE;1.257;507;750;1.134;123;271;780;206;0;1.232;22;3;780;0;0;0;483;47;1.182;1.101;1.066
AL;SAO MIGUEL DOS CAMPOS;4.180;1.819;2.361;3.715;465;742;2.477;961;30;3.975;167;38;2.477;0;0;1;1.473;46;3.787;3.540;3.394
AL;SAO MIGUEL DOS MILAGRES;430;125;305;382;48;70;241;119;1;423;5;2;241;0;0;0;235;47;381;337;409
AL;SAO SEBASTIAO;1.018;269;749;960;58;196;527;295;7;1.001;13;4;527;0;0;2;484;45;954;881;845
AL;SATUBA;1.635;796;839;1.427;208;311;1.023;301;11;1.470;138;27;1.023;0;0;0;564;43;1.335;1.106;918
AL;SENADOR RUI PALMEIRA;257;83;174;237;20;100;114;43;1;251;6;0;114;0;0;0;153;45;218;209;210
AL;TANQUE DARCA;176;61;115;162;14;63;72;41;1;172;4;0;72;0;0;0;103;47;160;155;148
AL;TAQUARANA;622;192;430;578;44;169;271;182;2;604;16;2;271;0;0;0;331;46;612;574;556
AL;TEOTONIO VILELA;2.041;658;1.383;1.833;208;293;1.245;503;8;1.899;122;20;1.245;0;0;0;658;43;1.773;1.662;1.687
AL;TRAIPU;646;283;363;591;55;199;356;91;5;624;21;1;356;0;0;1;356;50;584;523;487
AL;UNIAO DOS PALMARES;2.881;1.225;1.656;2.562;319;779;1.688;414;25;2.746;118;17;1.688;0;0;0;1.384;48;2.449;2.350;2.210
AL;VICOSA;1.273;617;656;1.136;137;356;640;277;15;1.241;24;8;640;0;0;0;592;49;1.161;1.139;1.103
AM;ALVARAES;393;179;214;334;59;165;161;67;1;384;9;0;161;0;0;0;171;44;386;335;289
AM;AMATURA;401;225;176;319;82;153;196;52;0;398;3;0;196;0;0;0;176;43;312;288;207
AM;ANAMA;289;86;203;256;33;123;103;63;0;286;3;0;103;0;0;0;131;44;247;257;230
AM;ANORI;483;135;348;449;34;160;208;115;0;472;11;0;208;0;0;0;217;46;448;428;392
AM;APUI;1.109;238;871;968;141;185;374;550;0;1.091;18;0;374;0;0;0;496;43;989;900;855
AM;ATALAIA DO NORTE;615;306;309;535;80;125;411;79;0;581;34;0;411;0;0;0;236;40;522;495;452
AM;AUTAZES;1.159;477;682;1.005;154;316;487;356;3;1.138;18;3;487;0;0;0;514;45;1.015;961;936
AM;BARCELOS;727;314;413;629;98;171;385;171;0;684;37;6;385;0;0;0;265;42;666;667;598
AM;BARREIRINHA;1.072;402;670;960;112;255;492;325;0;1.016;53;3;492;0;0;0;542;44;896;905;977
AM;BENJAMIN CONSTANT;1.516;665;851;1.307;209;345;842;329;4;1.457;57;2;842;0;0;0;629;43;1.291;1.218;1.115
AM;BERURI;490;156;334;442;48;156;198;136;1;477;10;3;198;0;0;0;205;43;456;462;431
AM;BOA VISTA DO RAMOS;534;216;318;456;78;172;224;138;1;501;26;7;224;0;0;0;290;42;496;417;405
AM;BOCA DO ACRE;1.623;305;1.318;1.485;138;348;639;636;1;1.581;36;6;639;0;0;0;642;45;1.556;1.491;1.462
AM;BORBA;938;381;557;840;98;285;466;187;2;911;20;7;466;0;0;0;442;45;895;911;788
AM;CAAPIRANGA;358;137;221;317;41;183;101;74;0;346;12;0;101;0;0;1;177;44;323;282;248
AM;CANUTAMA;336;151;185;268;68;69;213;54;0;325;9;2;213;0;0;0;137;44;303;270;237
AM;CARAUARI;1.120;490;630;974;146;244;545;331;0;1.096;22;2;545;0;0;0;472;43;1.098;1.028;1.000
AM;CAREIRO;1.221;429;792;1.066;155;288;569;364;4;1.176;40;5;569;0;0;0;553;44;1.052;943;818
AM;CAREIRO DA VARZEA;500;197;303;450;50;160;240;100;0;480;19;1;240;0;0;0;283;46;446;445;394
AM;COARI;3.235;1.083;2.152;2.888;347;997;1.437;801;3;3.094;127;14;1.437;0;0;0;1.445;44;2.974;2.834;2.676
AM;CODAJAS;685;207;478;620;65;253;302;130;1;656;29;0;302;0;0;0;300;47;604;575;540
AM;EIRUNEPE;1.341;558;783;1.153;188;409;629;303;1;1.309;26;6;629;0;0;0;582;44;1.095;1.031;943
AM;ENVIRA;622;273;349;414;208;163;230;229;2;617;5;0;230;0;0;0;305;44;473;460;439
AM;FONTE BOA;809;293;516;692;117;244;345;220;0;802;7;0;345;0;0;0;330;44;681;629;569
AM;GUAJARA;304;135;169;250;54;103;171;30;0;297;7;0;171;0;0;0;136;43;254;228;223
AM;HUMAITA;3.933;2.184;1.749;3.393;540;551;2.495;887;11;3.755;134;44;2.495;0;0;0;1.363;42;3.513;3.169;2.892
AM;IPIXUNA;378;124;254;329;49;141;168;69;1;355;21;2;168;0;0;0;177;43;354;347;338
AM;IRANDUBA;2.367;923;1.444;2.077;290;603;1.139;625;16;2.276;78;13;1.139;0;0;0;1.064;45;1.976;1.831;1.593
AM;ITACOATIARA;6.341;2.810;3.531;5.591;750;1.356;3.244;1.741;17;6.126;177;38;3.244;0;0;0;2.619;45;5.841;5.462;5.185
AM;ITAMARATI;294;107;187;251;43;109;95;90;0;290;4;0;95;0;0;0;113;40;258;202;205
AM;ITAPIRANGA;454;165;289;397;57;116;231;107;1;436;17;1;231;0;0;0;182;45;345;349;325
AM;JAPURA;250;108;142;210;40;107;91;52;0;240;10;0;91;0;0;0;113;42;229;206;172
AM;JURUA;330;149;181;280;50;100;147;83;0;306;22;2;147;0;0;0;147;41;321;288;254
AM;JUTAI;562;223;339;485;77;171;253;138;0;544;17;1;253;0;0;0;234;42;460;405;374
AM;LABREA;1.482;422;1.060;1.220;262;367;800;315;6;1.446;24;12;800;0;0;0;577;43;1.249;1.134;985
AM;MANACAPURU;5.362;1.876;3.486;4.745;617;1.128;2.462;1.772;24;5.143;209;10;2.462;0;0;0;2.298;44;4.927;4.807;4.541
AM;MANAQUIRI;500;205;295;456;44;129;228;143;0;487;12;1;228;0;0;0;244;44;462;418;355
AM;MANAUS;314.572;157.485;157.087;275.377;39.195;56.054;185.506;73.012;3.531;296.207;15.180;3.185;185.506;0;52;109;132.403;45;290.856;273.703;257.716
AM;MANICORE;1.764;791;973;1.612;152;463;651;650;1;1.727;33;4;651;0;0;0;740;44;1.682;1.488;1.367
AM;MARAA;340;150;190;289;51;129;151;60;0;325;15;0;151;0;0;0;163;42;291;301;263
AM;MAUES;1.952;600;1.352;1.742;210;477;729;746;11;1.880;60;12;729;0;0;0;910;46;1.734;1.705;1.608
AM;NHAMUNDA;575;238;337;493;82;203;230;142;2;563;11;1;230;0;0;0;244;45;482;460;459
AM;NOVA OLINDA DO NORTE;685;367;318;611;74;181;310;194;1;671;14;0;310;0;0;0;333;46;598;568;533
AM;NOVO AIRAO;733;253;480;648;85;170;312;251;2;696;37;0;312;0;0;0;327;45;670;541;570
AM;NOVO ARIPUANA;613;224;389;548;65;175;219;219;1;604;5;4;219;0;0;0;264;45;587;526;520
AM;PARINTINS;6.283;2.250;4.033;5.539;744;1.184;3.111;1.988;11;6.019;253;11;3.111;0;0;0;2.933;46;5.811;5.530;5.232
AM;PAUINI;579;192;387;529;50;152;241;186;0;572;7;0;241;0;0;0;211;42;498;479;457
AM;PRESIDENTE FIGUEIREDO;2.525;1.030;1.495;2.240;285;444;1.569;512;4;2.353;159;13;1.569;0;0;0;1.001;44;2.321;2.253;2.226
AM;RIO PRETO DA EVA;1.078;371;707;959;119;254;515;309;2;1.037;35;6;515;0;0;0;490;45;984;937;831
AM;SANTA ISABEL DO RIO NEGRO;379;214;165;314;65;67;243;69;0;364;15;0;243;0;0;0;184;44;353;297;266
AM;SANTO ANTONIO DO ICA;596;271;325;503;93;252;245;99;2;579;15;2;245;0;0;0;267;43;513;469;474
AM;SAO GABRIEL DA CACHOEIRA;2.744;1.376;1.368;2.334;410;402;1.976;366;1;2.410;302;32;1.976;0;0;0;860;40;2.570;2.407;2.162
AM;SAO PAULO DE OLIVENCA;1.697;1.323;374;1.551;146;255;611;831;0;1.673;21;3;611;0;0;0;966;39;798;742;663
AM;SAO SEBASTIAO DO UATUMA;330;85;245;302;28;120;140;70;0;313;17;0;140;0;0;0;171;45;290;287;284
AM;SILVES;416;142;274;387;29;123;188;105;1;408;8;0;188;0;0;0;191;46;412;361;403
AM;TABATINGA;3.966;2.492;1.474;3.322;644;779;2.622;565;4;3.815;131;20;2.622;0;0;0;1.368;42;3.626;3.452;3.181
AM;TAPAUA;526;169;357;459;67;169;266;91;1;504;19;3;266;0;0;0;226;43;484;455;419
AM;TEFE;4.281;2.266;2.015;3.711;570;733;2.670;878;15;4.034;228;19;2.670;0;1;2;1.623;41;3.713;3.533;3.212
AM;TONANTINS;503;313;190;396;107;148;275;80;0;489;10;4;275;0;0;0;227;41;438;402;379
AM;UARINI;354;129;225;303;51;128;141;85;0;336;18;0;141;0;0;0;177;42;321;282;283
AM;URUCARA;736;238;498;617;119;208;316;212;1;723;12;1;316;0;0;0;341;47;614;598;553
AM;URUCURITUBA;623;225;398;540;83;172;299;152;1;586;36;1;299;0;0;1;281;45;500;493;438
AP;AMAPA;551;334;217;463;88;87;394;70;1;538;11;2;394;0;0;0;301;52;460;425;499
AP;CALCOENE;576;273;303;508;68;116;283;177;1;564;11;1;283;0;0;0;308;47;538;481;486
AP;CUTIAS;110;66;44;94;16;21;69;20;0;110;0;0;69;0;0;0;60;44;96;95;68
AP;FERREIRA GOMES;418;210;208;368;50;104;251;63;4;405;12;1;251;0;0;0;212;45;404;347;305
AP;ITAUBAL;172;115;57;131;41;25;127;20;1;171;1;0;127;0;0;0;79;43;125;115;104
AP;LARANJAL DO JARI;2.911;1.567;1.344;2.491;420;663;1.584;664;5;2.837;69;5;1.584;0;0;0;1.225;44;2.645;2.600;2.754
AP;MACAPA;69.628;43.110;26.518;60.309;9.319;12.175;46.951;10.502;903;66.687;2.376;565;46.951;0;0;14;34.171;46;65.188;62.193;58.074
AP;MAZAGAO;871;592;279;721;150;117;600;154;4;856;14;1;600;0;0;0;376;47;769;762;677
AP;OIAPOQUE;2.134;1.044;1.090;1.809;325;429;1.161;544;1;2.073;58;3;1.161;0;0;0;929;43;1.908;1.891;1.731
AP;PEDRA BRANCA DO AMAPARI;860;566;294;708;152;104;676;80;1;807;49;4;676;0;0;0;286;40;675;592;524
AP;PORTO GRANDE;1.196;694;502;1.014;182;228;771;197;1;1.155;36;5;771;0;0;1;538;45;1.068;981;963
AP;PRACUUBA;119;57;62;100;19;19;91;9;0;94;25;0;91;0;0;0;79;46;109;96;94
AP;SANTANA;11.810;7.305;4.505;10.062;1.748;2.049;8.100;1.661;65;11.362;393;55;8.100;0;1;3;5.316;44;10.998;10.286;9.568
AP;SERRA DO NAVIO;511;287;224;439;72;72;407;32;1;472;38;1;407;0;0;0;158;43;456;390;399
AP;TARTARUGALZINHO;424;201;223;366;58;85;245;94;2;398;21;5;245;0;0;0;212;43;370;335;319
AP;VITORIA DO JARI;638;271;367;562;76;105;360;173;0;624;12;2;360;0;0;0;228;42;587;653;593
BA;ABAIRA;320;91;229;301;19;45;184;91;0;315;2;3;184;0;0;0;143;50;281;273;242
BA;ABARE;511;165;346;449;62;107;312;92;2;492;17;2;312;0;0;0;329;47;427;446;450
BA;ACAJUTIBA;544;210;334;482;62;92;293;159;0;535;9;0;293;0;0;0;289;50;490;468;442
BA;ADUSTINA;419;146;273;391;28;92;204;123;0;411;8;0;204;0;0;0;193;44;402;349;361
BA;AGUA FRIA;452;211;241;403;49;48;316;88;1;443;5;4;316;0;0;0;258;47;450;410;393
BA;AIQUARA;225;82;143;207;18;36;152;37;0;214;10;1;152;0;0;0;101;48;185;173;162
BA;ALAGOINHAS;18.941;10.089;8.852;16.772;2.169;3.259;12.485;3.197;43;18.050;759;132;12.485;0;0;6;7.290;48;17.781;16.754;16.050
BA;ALCOBACA;992;356;636;904;88;179;397;416;1;969;16;7;397;0;0;0;416;47;968;918;852
BA;ALMADINA;234;80;154;219;15;61;106;67;6;224;8;2;106;0;0;0;121;51;219;221;200
BA;AMARGOSA;2.312;919;1.393;2.070;242;387;1.115;810;10;2.227;65;20;1.115;0;0;0;1.162;48;2.252;2.150;2.109
BA;AMELIA RODRIGUES;1.761;836;925;1.558;203;251;1.185;325;0;1.696;57;8;1.185;0;0;1;653;48;1.613;1.664;1.432
BA;AMERICA DOURADA;404;132;272;367;37;56;257;91;0;394;8;2;257;0;0;0;223;45;407;377;363
BA;ANAGE;464;142;322;424;40;77;259;128;6;458;6;0;259;0;0;0;221;49;431;451;425
BA;ANDARAI;447;160;287;409;38;105;212;130;1;424;23;0;212;0;0;0;189;47;416;368;365
BA;ANDORINHA;927;429;498;840;87;190;601;136;2;885;39;3;601;0;0;0;205;42;888;855;785
BA;ANGICAL;560;194;366;496;64;103;347;110;1;541;14;5;347;0;0;0;251;45;562;534;529
BA;ANGUERA;282;144;138;243;39;32;198;52;0;259;22;1;198;0;0;0;85;43;263;209;178
BA;ANTAS;601;205;396;538;63;121;291;189;0;591;8;2;291;0;0;0;304;49;549;527;496
BA;ANTONIO CARDOSO;154;75;79;144;10;32;92;30;0;151;3;0;92;0;0;0;70;46;151;144;129
BA;ANTONIO GONCALVES;348;118;230;320;28;54;181;113;0;336;9;3;181;0;0;0;154;46;305;294;304
BA;APORA;578;248;330;512;66;198;252;128;1;563;13;2;252;0;0;0;323;47;527;590;517
BA;APUAREMA;308;56;252;291;17;146;94;68;0;302;6;0;94;0;0;0;161;45;242;215;182
BA;ARACAS;541;229;312;474;67;64;373;104;1;493;45;3;373;0;0;0;163;43;486;467;400
BA;ARACATU;368;141;227;328;40;45;182;141;0;361;7;0;182;0;0;0;153;45;330;306;288
BA;ARACI;1.776;758;1.018;1.594;182;274;1.070;432;3;1.694;74;8;1.070;0;0;0;905;46;1.753;1.663;1.799
BA;ARAMARI;427;182;245;370;57;64;304;59;1;419;6;2;304;0;0;0;158;48;425;385;340
BA;ARATACA;274;111;163;252;22;72;109;93;1;261;12;1;109;0;0;0;135;45;230;245;269
