uf,municipio,d2021,d2022,d2023,d2024
AC,ACRELANDIA,774,833,956,1039
AC,ASSIS BRASIL,530,515,594,622
AC,BRASILEIA,2000,2217,2607,2623
AC,BUJARI,551,625,700,743
AC,CAPIXABA,387,473,590,652
AC,CRUZEIRO DO SUL,8151,9083,10659,11171
AC,EPITACIOLANDIA,1336,1571,1711,1764
AC,FEIJO,1533,1839,1936,2107
AC,JORDAO,168,386,332,354
AC,MANCIO LIMA,895,1006,1199,1270
AC,MANOEL URBANO,384,502,629,672
AC,MARECHAL THAUMATURGO,454,510,611,637
AC,PLACIDO DE CASTRO,1188,1226,1449,1542
AC,PORTO ACRE,730,825,1055,1130
AC,PORTO WALTER,305,423,486,510
AC,RIO BRANCO,59380,63051,68796,71601
AC,RODRIGUES ALVES,518,672,985,1003
AC,SANTA ROSA DO PURUS,247,413,367,325
AC,SENA MADUREIRA,2413,2686,3176,3242
AC,SENADOR GUIOMARD,1717,1853,2082,2200
AC,TARAUACA,1946,2236,2542,2661
AC,XAPURI,1355,1385,1519,1621
AL,AGUA BRANCA,786,908,1138,1360
AL,ANADIA,680,726,884,1041
AL,ARAPIRACA,22231,23914,27335,29020
AL,ATALAIA,1393,1658,2263,2488
AL,BARRA DE SANTO ANTONIO,599,671,840,966
AL,BARRA DE SAO MIGUEL,636,738,816,866
AL,BATALHA,795,929,1086,1187
AL,BELEM,158,180,243,276
AL,BELO MONTE,153,187,253,319
AL,BOCA DA MATA,1337,1554,1966,2118
AL,BRANQUINHA,199,216,289,378
AL,CACIMBINHAS,406,406,482,551
AL,CAJUEIRO,638,738,956,1018
AL,CAMPESTRE,273,293,365,399
AL,CAMPO ALEGRE,1628,1881,2338,2540
AL,CAMPO GRANDE,238,243,336,378
AL,CANAPI,417,438,749,819
AL,CAPELA,682,705,915,979
AL,CARNEIROS,304,294,367,467
AL,CHA PRETA,242,254,293,332
AL,COITE DO NOIA,367,427,489,589
AL,COLONIA LEOPOLDINA,694,772,1002,1143
AL,COQUEIRO SECO,297,305,390,423
AL,CORURIPE,3357,3468,5262,5948
AL,CRAIBAS,569,661,830,997
AL,DELMIRO GOUVEIA,3699,4407,5455,5863
AL,DOIS RIACHOS,337,413,447,469
AL,ESTRELA DE ALAGOAS,331,361,455,543
AL,FEIRA GRANDE,545,560,720,890
