uf,municipio,d2021,d2022,d2023,d2024
AL,FELIZ DESERTO,142,143,197,213
AL,FLEXEIRAS,253,275,369,450
AL,GIRAU DO PONCIANO,1026,1072,1315,1450
AL,IBATEGUARA,394,421,558,574
AL,IGACI,754,816,969,1086
AL,IGREJA NOVA,575,596,825,950
AL,INHAPI,378,381,492,598
AL,JACARE DOS HOMENS,165,192,223,239
AL,JACUIPE,220,224,294,326
AL,JAPARATINGA,341,393,469,539
AL,JARAMATAIA,167,179,228,248
AL,JEQUIA DA PRAIA,257,292,376,423
AL,JOAQUIM GOMES,472,477,662,656
AL,JUNDIA,154,168,279,275
AL,JUNQUEIRO,989,1160,1438,1771
AL,LAGOA DA CANOA,595,621,740,843
AL,LIMOEIRO DE ANADIA,684,802,949,1145
AL,MACEIO,154458,161186,179636,184237
AL,MAJOR ISIDORO,622,657,795,930
AL,MAR VERMELHO,144,141,179,204
AL,MARAGOGI,1490,1654,2002,2053
AL,MARAVILHA,461,482,535,716
AL,MARECHAL DEODORO,5871,6838,8351,8823
AL,MARIBONDO,537,635,841,953
AL,MATA GRANDE,795,867,942,1259
AL,MATRIZ DE CAMARAGIBE,1004,1100,1470,1769
AL,MESSIAS,512,636,956,1213
AL,MINADOR DO NEGRAO,162,178,213,246
AL,MONTEIROPOLIS,196,193,221,264
AL,MURICI,998,1049,1356,1860
AL,NOVO LINO,347,365,505,568
AL,OLHO DAGUA DAS FLORES,1062,1153,1429,1540
AL,OLHO DAGUA DO CASADO,267,295,394,446
AL,OLHO DAGUA GRANDE,89,102,140,149
AL,OLIVENCA,253,290,387,441
AL,OURO BRANCO,463,460,541,609
AL,PALESTINA,175,206,242,242
AL,PALMEIRA DOS INDIOS,5653,6006,6852,7385
AL,PAO DE ACUCAR,1183,1268,1390,1559
AL,PARICONHA,392,467,588,692
AL,PARIPUEIRA,771,916,1099,1158
AL,PASSO DE CAMARAGIBE,395,478,628,694
AL,PAULO JACINTO,228,241,325,369
AL,PENEDO,4676,4898,6043,6147
AL,PIACABUCU,680,676,826,894
AL,PILAR,2135,2665,3418,3886
AL,PINDOBA,76,81,106,114
AL,PIRANHAS,1414,1476,1730,1868
AL,POCO DAS TRINCHEIRAS,259,290,410,477
AL,PORTO CALVO,1386,1575,1847,2069
AL,PORTO DE PEDRAS,281,334,414,449
AL,PORTO REAL DO COLEGIO,693,749,965,1117
AL,QUEBRANGULO,412,452,563,615
AL,RIO LARGO,4769,5298,7300,7764
AL,ROTEIRO,179,193,250,290
AL,SANTA LUZIA DO NORTE,370,428,522,543
AL,SANTANA DO IPANEMA,2739,2997,3422,3850
AL,SANTANA DO MUNDAU,318,344,421,497
AL,SAO BRAS,227,233,292,329
AL,SAO JOSE DA LAJE,1288,1444,1726,1828
AL,SAO JOSE DA TAPERA,1215,1271,1581,1830
AL,SAO LUIS DO QUITUNDE,1257,1414,1822,2211
AL,SAO MIGUEL DOS CAMPOS,4180,4520,5596,6084
AL,SAO MIGUEL DOS MILAGRES,430,466,586,632
AL,SAO SEBASTIAO,1018,1109,1417,1614
AL,SATUBA,1635,1938,2477,2692
AL,SENADOR RUI PALMEIRA,257,282,386,447
AL,TANQUE DARCA,176,208,264,313
AL,TAQUARANA,622,712,912,1025
AL,TEOTONIO VILELA,2041,2272,2770,3406
AL,TRAIPU,646,737,899,1332
AL,UNIAO DOS PALMARES,2881,3050,3671,4133
AL,VICOSA,1273,1366,1655,1754
AM,ALVARAES,393,414,498,556
AM,AMATURA,401,557,545,555
AM,ANAMA,289,299,352,366
AM,ANORI,483,512,639,716
AM,APUI,1109,1279,1529,1479
AM,ATALAIA DO NORTE,615,924,814,1131
AM,AUTAZES,1159,1225,1380,1618
AM,BARCELOS,727,732,899,936
AM,BARREIRINHA,1072,1156,1339,1477
AM,BENJAMIN CONSTANT,1516,2017,1963,2144
AM,BERURI,490,566,697,679
AM,BOA VISTA DO RAMOS,534,582,598,695
AM,BOCA DO ACRE,1623,1701,1933,2068
AM,BORBA,938,1015,1194,1304
AM,CAAPIRANGA,358,375,436,485
AM,CANUTAMA,336,368,469,475
AM,CARAUARI,1120,1282,1470,1457
AM,CAREIRO,1221,1285,1444,1593
AM,CAREIRO DA VARZEA,500,525,622,677
AM,COARI,3235,3394,3803,4153
AM,CODAJAS,685,776,986,1124
AM,EIRUNEPE,1341,1375,1595,1823
AM,ENVIRA,622,509,584,657
AM,FONTE BOA,809,835,1044,1100
AM,GUAJARA,304,352,420,531
AM,HUMAITA,3933,4315,5528,5775
AM,IPIXUNA,378,414,474,506
AM,IRANDUBA,2367,2594,3355,3973
AM,ITACOATIARA,6341,6781,7789,8414
AM,ITAMARATI,294,349,433,456
AM,ITAPIRANGA,454,513,627,748
AM,JAPURA,250,280,321,338
AM,JURUA,330,346,432,445
AM,JUTAI,562,648,715,811
AM,LABREA,1482,1523,1872,2024
AM,MANACAPURU,5362,5552,6132,6258
AM,MANAQUIRI,500,546,703,742
AM,MANAUS,314572,328915,376154,383364
AM,MANICORE,1764,2008,2338,2652
AM,MARAA,340,357,418,460
AM,MAUES,1952,2643,2630,2953
AM,NHAMUNDA,575,610,698,780
AM,NOVA OLINDA DO NORTE,685,808,909,1006
AM,NOVO AIRAO,733,774,895,1053
AM,NOVO ARIPUANA,613,613,870,882
AM,PARINTINS,6283,6457,7390,7945
AM,PAUINI,579,589,664,646
AM,PRESIDENTE FIGUEIREDO,2525,2672,3236,3594
AM,RIO PRETO DA EVA,1078,1217,1409,1564
AM,SANTA ISABEL DO RIO NEGRO,379,389,474,505
AM,SANTO ANTONIO DO ICA,596,623,700,903
AM,SAO GABRIEL DA CACHOEIRA,2744,2915,3411,3826
AM,SAO PAULO DE OLIVENCA,1697,943,1089,1167
AM,SAO SEBASTIAO DO UATUMA,330,392,479,502
AM,SILVES,416,560,596,657
AM,TABATINGA,3966,4622,5838,5047
AM,TAPAUA,526,565,735,766
AM,TEFE,4281,4685,5487,5644
AM,TONANTINS,503,489,559,603
AM,UARINI,354,354,403,430
AM,URUCARA,736,903,904,886
AM,URUCURITUBA,623,625,743,991
AP,AMAPA,551,627,681,743
AP,CALCOENE,576,629,768,882
AP,CUTIAS,110,117,174,198
AP,FERREIRA GOMES,418,471,533,572
AP,ITAUBAL,172,159,252,288
AP,LARANJAL DO JARI,2911,3077,3451,3604
AP,MACAPA,69628,72779,81174,81623
AP,MAZAGAO,871,950,1201,1403
AP,OIAPOQUE,2134,2146,2570,2578
AP,PEDRA BRANCA DO AMAPARI,860,889,1082,1076
AP,PORTO GRANDE,1196,1264,1657,1832
AP,PRACUUBA,119,116,155,180
AP,SANTANA,11810,12518,14697,15092
AP,SERRA DO NAVIO,511,542,637,527
AP,TARTARUGALZINHO,424,438,621,697
AP,VITORIA DO JARI,638,696,892,888
BA,ABAIRA,320,373,435,454
BA,ABARE,511,535,682,708
BA,ACAJUTIBA,544,565,699,787
BA,ADUSTINA,419,441,524,582
BA,AGUA FRIA,452,479,586,801
BA,AIQUARA,225,218,247,297
BA,ALAGOINHAS,18941,19031,21995,22547
BA,ALCOBACA,992,1072,1279,1441
BA,ALMADINA,234,247,290,334
BA,AMARGOSA,2312,2371,2990,3236
BA,AMELIA RODRIGUES,1761,1947,2308,2549
BA,AMERICA DOURADA,404,428,550,615
BA,ANAGE,464,516,701,818
BA,ANDARAI,447,487,654,731
BA,ANDORINHA,927,1038,1532,1664
BA,ANGICAL,560,813,989,1202
BA,ANGUERA,282,298,487,546
BA,ANTAS,601,705,756,834
BA,ANTONIO CARDOSO,154,215,334,482
BA,ANTONIO GONCALVES,348,365,532,601
BA,APORA,578,636,760,848
BA,APUAREMA,308,328,391,420
BA,ARACAS,541,628,842,912
BA,ARACATU,368,397,636,685
BA,ARACI,1776,1892,2248,2474
BA,ARAMARI,427,559,701,758
BA,ARATACA,274,275,311,419
BA,ARATUIPE,247,318,429,444
BA,AURELINO LEAL,401,488,540,633
BA,BAIANOPOLIS,634,644,836,981
BA,BAIXA GRANDE,818,837,939,1006
BA,BANZAE,320,369,502,837
BA,BARRA,2080,1958,2297,2455
BA,BARRA DA ESTIVA,1464,1597,1842,1883
BA,BARRA DO CHOCA,1045,1206,1491,1699
BA,BARRA DO MENDES,565,651,754,871
BA,BARRA DO ROCHA,197,226,298,305
BA,BARREIRAS,20510,21971,25714,27163
BA,BARRO ALTO,435,449,566,632
BA,BARRO PRETO,276,268,328,376
BA,BARROCAS,789,945,1173,1319
BA,BELMONTE,1247,1285,1484,1576
BA,BELO CAMPO,493,617,715,880
BA,BIRITINGA,417,435,520,689
BA,BOA NOVA,420,432,563,664
BA,BOA VISTA DO TUPIM,426,457,595,682
BA,BOM JESUS DA LAPA,4763,5025,6199,6562
BA,BOM JESUS DA SERRA,186,203,298,382
BA,BONINAL,358,394,521,617
BA,BONITO,476,505,612,736
BA,BOQUIRA,934,959,1184,1375
BA,BOTUPORA,320,334,457,523
BA,BREJOES,594,601,767,786
BA,BREJOLANDIA,155,191,355,437
BA,BROTAS DE MACAUBAS,428,456,541,578
BA,BRUMADO,6351,6765,8022,8595
BA,BUERAREMA,977,983,1094,1105
BA,BURITIRAMA,501,566,897,1032
BA,CAATIBA,180,194,303,333
BA,CABACEIRAS DO PARAGUACU,453,468,590,676
BA,CACHOEIRA,1975,2179,2431,2538
BA,CACULE,1466,1591,1872,2047
BA,CAEM,312,326,415,428
BA,CAETANOS,324,601,675,770
BA,CAETITE,3803,4293,5170,5421
BA,CAFARNAUM,740,778,1020,1075
BA,CAIRU,721,852,1092,1149
BA,CALDEIRAO GRANDE,276,511,713,555
BA,CAMACAN,1725,1823,1981,2103
BA,CAMACARI,39789,42936,48484,51362
BA,CAMAMU,1428,1530,1870,2024
BA,CAMPO ALEGRE DE LOURDES,749,886,1178,1244
BA,CAMPO FORMOSO,3851,4324,5166,5516
BA,CANAPOLIS,201,353,409,626
BA,CANARANA,806,883,1012,1221
BA,CANAVIEIRAS,1962,2166,2336,2513
BA,CANDEAL,290,305,376,373
BA,CANDEIAS,9834,11900,14736,15180
BA,CANDIBA,477,556,640,754
BA,CANDIDO SALES,996,1142,1223,1282
BA,CANSANCAO,956,1093,1428,1446
BA,CANUDOS,541,587,714,764
BA,CAPELA DO ALTO ALEGRE,444,464,544,584
BA,CAPIM GROSSO,1700,1884,2201,2370
BA,CARAIBAS,136,171,243,302
BA,CARAVELAS,1247,1299,1593,1747
BA,CARDEAL DA SILVA,388,421,585,561
BA,CARINHANHA,1075,1162,1700,1459
BA,CASA NOVA,2384,2557,3102,3293
BA,CASTRO ALVES,1135,1219,1482,1611
BA,CATOLANDIA,116,120,146,151
BA,CATU,6039,6471,8412,8807
BA,CATURAMA,159,195,246,318
BA,CENTRAL,545,594,757,828
BA,CHORROCHO,387,410,506,567
BA,CICERO DANTAS,1389,1554,1939,2102
BA,CIPO,1048,1088,1290,1374
BA,COARACI,1375,1385,1571,1641
BA,COCOS,989,1045,1470,1733
BA,CONCEICAO DA FEIRA,1095,1163,1394,1688
BA,CONCEICAO DO ALMEIDA,738,790,990,1067
BA,CONCEICAO DO COITE,3450,3607,4266,4565
BA,CONCEICAO DO JACUIPE,2726,3179,3722,3983
BA,CONDE,954,1028,1313,1376
BA,CONDEUBA,750,785,870,914
BA,CONTENDAS DO SINCORA,205,218,238,273
BA,CORACAO DE MARIA,1164,1212,1402,1552
BA,CORDEIROS,255,265,365,404
BA,CORIBE,583,669,800,765
BA,CORONEL JOAO SA,563,602,676,777
BA,CORRENTINA,2344,2512,3080,3311
BA,COTEGIPE,420,471,549,652
BA,CRAVOLANDIA,198,211,263,291
BA,CRISOPOLIS,471,558,728,841
BA,CRISTOPOLIS,401,447,585,606
BA,CRUZ DAS ALMAS,5687,6038,6751,6966
BA,CURACA,1203,1431,1612,1749
BA,DARIO MEIRA,344,377,519,551
BA,DIAS DAVILA,7758,8763,10150,10857
BA,DOM BASILIO,512,564,639,726
BA,DOM MACEDO COSTA,156,183,217,315
BA,ELISIO MEDRADO,257,295,439,518
BA,ENCRUZILHADA,413,532,585,636
BA,ENTRE RIOS,2724,2971,3565,3827
BA,ERICO CARDOSO,225,252,360,440
BA,ESPLANADA,1720,1965,2304,2470
BA,EUCLIDES DA CUNHA,2936,3159,3688,3959
BA,EUNAPOLIS,13261,13759,15805,16490
BA,FATIMA,560,635,737,839
BA,FEIRA DA MATA,155,196,266,302
BA,FEIRA DE SANTANA,75068,78755,92069,93091
BA,FILADELFIA,674,726,856,971
BA,FIRMINO ALVES,216,213,293,280
BA,FLORESTA AZUL,442,449,506,546
BA,FORMOSA DO RIO PRETO,1776,1771,2249,2454
BA,GANDU,2083,2234,2507,2680
BA,GAVIAO,134,140,182,213
BA,GENTIO DO OURO,308,325,453,616
BA,GLORIA,534,635,800,1039
BA,GONGOGI,213,224,295,370
BA,GOVERNADOR MANGABEIRA,1001,1123,1382,1515
BA,GUAJERU,202,230,332,459
BA,GUANAMBI,8900,9470,10912,11615
BA,GUARATINGA,793,883,1071,1113
BA,HELIOPOLIS,476,513,594,661
BA,IACU,1256,1351,1649,1671
BA,IBIASSUCE,466,483,581,584
BA,IBICARAI,1813,1915,2062,2100
BA,IBICOARA,1214,1430,1718,1990
BA,IBICUI,692,720,808,886
BA,IBIPEBA,444,487,570,660
BA,IBIPITANGA,430,413,590,651
BA,IBIQUERA,130,131,165,170
BA,IBIRAPITANGA,749,847,1014,988
BA,IBIRAPUA,645,756,1014,1076
BA,IBIRATAIA,957,1034,1186,1208
BA,IBITIARA,422,464,537,602
BA,IBITITA,536,569,753,801
BA,IBOTIRAMA,1855,1930,2309,2464
BA,ICHU,254,315,389,423
BA,IGAPORA,721,724,919,1003
BA,IGRAPIUNA,290,319,392,452
BA,IGUAI,885,885,859,1002
BA,ILHEUS,21875,23067,25768,26947
BA,INHAMBUPE,1427,1549,1879,2096
BA,IPECAETA,153,166,329,383
BA,IPIAU,4225,4575,5078,5243
BA,IPIRA,2701,2812,3382,3600
BA,IPUPIARA,457,532,635,730
BA,IRAJUBA,218,239,276,303
BA,IRAMAIA,423,430,523,599
BA,IRAQUARA,867,931,1233,1357
BA,IRARA,1384,1368,1842,1946
BA,IRECE,7328,7678,8855,8990
BA,ITABELA,1704,1838,2081,2195
BA,ITABERABA,5460,5847,6790,7154
BA,ITABUNA,28243,29303,31909,32901
BA,ITACARE,1293,1446,1664,1777
BA,ITAETE,585,597,732,823
BA,ITAGI,507,526,616,653
BA,ITAGIBA,918,1019,1248,1433
BA,ITAGIMIRIM,428,456,526,599
BA,ITAGUACU DA BAHIA,256,275,334,459
BA,ITAJU DO COLONIA,211,211,252,262
BA,ITAJUIPE,1221,1330,1570,1629
BA,ITAMARAJU,5223,5440,6320,6504
BA,ITAMARI,315,327,372,423
BA,ITAMBE,1048,1048,1291,1331
BA,ITANAGRA,173,277,319,447
BA,ITANHEM,786,894,1065,1065
BA,ITAPARICA,1281,1274,1635,1788
BA,ITAPE,412,428,501,570
BA,ITAPEBI,647,680,780,829
BA,ITAPETINGA,5777,5975,7152,7547
BA,ITAPICURU,591,642,910,1028
BA,ITAPITANGA,325,346,411,470
BA,ITAQUARA,224,230,266,297
BA,ITARANTIM,823,860,1029,1070
BA,ITATIM,648,707,961,1000
BA,ITIRUCU,527,560,684,708
BA,ITIUBA,1086,1125,1467,1483
BA,ITORORO,915,1060,1239,1308
BA,ITUACU,900,937,1088,1129
BA,ITUBERA,1368,1448,1613,1724
BA,IUIU,402,440,497,591
BA,JABORANDI,511,486,679,795
BA,JACARACI,421,417,564,674
BA,JACOBINA,7809,8227,10012,10566
BA,JAGUAQUARA,2595,2753,3133,3376
BA,JAGUARARI,3397,3736,4801,5015
BA,JAGUARIPE,329,371,495,556
BA,JANDAIRA,266,275,342,368
BA,JEQUIE,16850,17396,19770,20736
BA,JEREMOABO,1659,1788,2042,2515
BA,JIQUIRICA,490,532,735,835
BA,JITAUNA,567,620,748,864
BA,JOAO DOURADO,973,997,1129,1570
BA,JUAZEIRO,21110,22700,26612,28211
BA,JUCURUCU,230,278,329,345
BA,JUSSARA,449,461,554,632
BA,JUSSARI,256,315,375,383
BA,JUSSIAPE,400,386,489,521
BA,LAFAIETE COUTINHO,180,187,219,242
BA,LAGOA REAL,230,329,429,489
BA,LAJE,561,606,843,960
BA,LAJEDAO,260,292,333,374
BA,LAJEDINHO,110,98,111,136
BA,LAJEDO DO TABOCAL,274,268,346,385
BA,LAMARAO,193,210,293,387
BA,LAPAO,941,987,1183,1351
BA,LAURO DE FREITAS,41332,43906,49288,50480
BA,LENCOIS,699,722,820,830
BA,LICINIO DE ALMEIDA,558,624,819,836
BA,LIVRAMENTO DE NOSSA SENHORA,2545,2754,3127,3267
BA,LUIS EDUARDO MAGALHAES,14130,15559,19069,21263
BA,MACAJUBA,421,456,498,566
BA,MACARANI,679,744,952,1031
BA,MACAUBAS,2001,2113,2670,2905
BA,MACURURE,186,246,348,396
BA,MADRE DE DEUS,2498,2827,3337,3538
BA,MAETINGA,149,205,250,292
BA,MAIQUINIQUE,372,434,530,587
BA,MAIRI,583,613,735,909
BA,MALHADA,361,438,578,654
BA,MALHADA DE PEDRAS,204,205,296,385
BA,MANOEL VITORINO,420,417,548,587
BA,MANSIDAO,303,376,488,583
BA,MARACAS,1930,2052,2465,2703
BA,MARAGOGIPE,1447,1661,2156,2348
BA,MARAU,681,855,1033,1105
BA,MARCIONILIO SOUZA,358,382,459,485
BA,MASCOTE,462,483,574,627
BA,MATA DE SAO JOAO,4163,4469,5593,5817
BA,MATINA,256,308,424,502
BA,MEDEIROS NETO,1812,2010,2481,2659
BA,MIGUEL CALMON,998,994,1318,1431
BA,MILAGRES,503,482,585,606
BA,MIRANGABA,333,367,495,911
BA,MIRANTE,235,264,357,422
BA,MONTE SANTO,1255,1390,1724,2118
BA,MORPARA,256,244,380,401
BA,MORRO DO CHAPEU,1488,1643,2104,2170
BA,MORTUGABA,378,574,594,610
BA,MUCUGE,655,783,979,1113
BA,MUCURI,3681,4028,4816,5263
BA,MULUNGU DO MORRO,262,319,393,472
BA,MUNDO NOVO,666,712,901,956
BA,MUNIZ FERREIRA,215,262,347,350
BA,MUQUEM DE SAO FRANCISCO,213,224,299,306
BA,MURITIBA,2013,2250,2554,2732
BA,MUTUIPE,985,1082,1243,1302
BA,NAZARE,1982,2250,2944,3062
BA,NILO PECANHA,283,341,381,410
BA,NORDESTINA,448,482,595,630
BA,NOVA CANAA,471,519,647,676
BA,NOVA FATIMA,384,418,493,553
BA,NOVA IBIA,162,164,208,249
BA,NOVA ITARANA,135,186,220,248
BA,NOVA REDENCAO,240,244,325,370
BA,NOVA SOURE,789,851,1032,1120
BA,NOVA VICOSA,3168,3418,4172,4386
BA,NOVO HORIZONTE,223,297,345,468
BA,NOVO TRIUNFO,364,377,428,469
BA,OLINDINA,844,972,1189,1241
BA,OLIVEIRA DOS BREJINHOS,793,824,952,1109
BA,OURICANGAS,305,315,418,492
BA,OUROLANDIA,577,587,790,918
BA,PALMAS DE MONTE ALTO,726,791,1011,1134
BA,PALMEIRAS,585,614,745,751
BA,PARAMIRIM,979,1027,1225,1348
BA,PARATINGA,881,937,1411,1454
BA,PARIPIRANGA,1457,1566,1758,1820
BA,PAU BRASIL,477,496,562,611
BA,PAULO AFONSO,12020,13532,15673,16978
BA,PE DE SERRA,425,510,624,674
BA,PEDRAO,146,190,249,279
BA,PEDRO ALEXANDRE,352,386,604,537
BA,PIATA,708,822,1201,1082
BA,PILAO ARCADO,936,959,1234,1439
BA,PINDAI,595,653,816,907
BA,PINDOBACU,577,622,795,929
BA,PINTADAS,410,445,638,730
BA,PIRAI DO NORTE,242,282,338,362
BA,PIRIPA,284,275,402,435
BA,PIRITIBA,724,768,1027,1025
BA,PLANALTINO,242,261,318,391
BA,PLANALTO,742,863,1060,1143
BA,POCOES,2681,2744,3325,3448
BA,POJUCA,4164,4445,5587,6004
BA,PONTO NOVO,421,552,799,890
BA,PORTO SEGURO,14716,16430,19696,20966
BA,POTIRAGUA,352,364,483,529
BA,PRADO,1901,2083,2557,2738
BA,PRESIDENTE DUTRA,580,595,791,869
BA,PRESIDENTE JANIO QUADROS,256,287,373,478
BA,PRESIDENTE TANCREDO NEVES,962,943,1087,1225
BA,QUEIMADAS,915,945,1132,1221
BA,QUIJINGUE,642,692,861,985
BA,QUIXABEIRA,245,290,403,509
BA,RAFAEL JAMBEIRO,496,565,760,1176
BA,REMANSO,1737,1864,2238,2326
BA,RETIROLANDIA,543,618,738,811
BA,RIACHAO DAS NEVES,785,839,1063,1164
BA,RIACHAO DO JACUIPE,1947,2032,2353,2469
BA,RIACHO DE SANTANA,1386,1651,2124,2382
BA,RIBEIRA DO AMPARO,314,364,461,521
BA,RIBEIRA DO POMBAL,3478,3699,4456,4888
BA,RIBEIRAO DO LARGO,180,253,332,394
BA,RIO DE CONTAS,683,758,1008,1068
BA,RIO DO ANTONIO,560,589,669,753
BA,RIO DO PIRES,400,421,533,641
BA,RIO REAL,1463,1610,1828,2102
BA,RODELAS,426,439,585,715
BA,RUY BARBOSA,1861,1893,2071,2215
BA,SALINAS DA MARGARIDA,581,685,921,999
BA,SALVADOR,495467,506595,557650,564222
BA,SANTA BARBARA,646,691,937,978
BA,SANTA BRIGIDA,315,380,835,710
BA,SANTA CRUZ CABRALIA,1882,2211,2546,2739
BA,SANTA CRUZ DA VITORIA,216,208,249,272
BA,SANTA INES,476,477,581,627
BA,SANTA LUZIA,401,428,502,536
BA,SANTA MARIA DA VITORIA,2999,2999,3519,3524
BA,SANTA RITA DE CASSIA,1055,1184,1377,1440
BA,SANTA TERESINHA,329,348,463,543
BA,SANTALUZ,1503,1717,2262,2538
BA,SANTANA,1207,1317,1528,1573
BA,SANTANOPOLIS,277,290,382,409
BA,SANTO AMARO,4284,4734,5657,6188
BA,SANTO ANTONIO DE JESUS,9771,10474,12093,12821
BA,SANTO ESTEVAO,2436,2649,3970,4328
BA,SAO DESIDERIO,1994,2287,2871,3303
BA,SAO DOMINGOS,337,363,445,480
BA,SAO FELIPE,782,825,1037,1151
BA,SAO FELIX,623,682,991,1049
BA,SAO FELIX DO CORIBE,942,1029,1183,1257
BA,SAO FRANCISCO DO CONDE,4391,4443,5658,6261
BA,SAO GABRIEL,656,699,928,1023
BA,SAO GONCALO DOS CAMPOS,2106,2273,2898,3144
BA,SAO JOSE DA VITORIA,179,175,219,259
BA,SAO JOSE DO JACUIPE,297,341,406,463
BA,SAO MIGUEL DAS MATAS,231,301,383,413
BA,SAO SEBASTIAO DO PASSE,3314,3869,5034,5358
BA,SAPEACU,793,929,1134,1262
BA,SATIRO DIAS,432,505,625,720
BA,SAUBARA,457,488,616,686
BA,SAUDE,347,431,510,584
BA,SEABRA,2850,3097,3743,4096
BA,SEBASTIAO LARANJEIRAS,371,387,536,517
BA,SENHOR DO BONFIM,7016,7230,8362,8348
BA,SENTO SE,1186,1262,1631,1776
BA,SERRA DO RAMALHO,1070,1180,1475,1622
BA,SERRA DOURADA,524,527,602,766
BA,SERRA PRETA,427,461,720,1176
BA,SERRINHA,6431,6999,8083,8471
BA,SERROLANDIA,446,490,642,732
BA,SIMOES FILHO,11405,12134,14604,15651
BA,SITIO DO MATO,175,213,333,410
BA,SITIO DO QUINTO,406,430,513,545
BA,SOBRADINHO,1545,1696,2121,2341
BA,SOUTO SOARES,398,435,502,653
BA,TABOCAS DO BREJO VELHO,356,407,663,837
BA,TANHACU,879,939,1082,1230
BA,TANQUE NOVO,891,920,1040,1159
BA,TANQUINHO,379,395,520,513
BA,TAPEROA,677,684,885,1004
BA,TAPIRAMUTA,443,465,616,681
BA,TEIXEIRA DE FREITAS,15575,16570,18935,20229
BA,TEODORO SAMPAIO,335,372,474,502
BA,TEOFILANDIA,1209,1390,1795,1943
BA,TEOLANDIA,395,402,484,542
BA,TERRA NOVA,534,589,738,834
BA,TREMEDAL,367,371,500,610
BA,TUCANO,2436,2534,3023,3229
BA,UAUA,1291,1392,1681,1868
BA,UBAIRA,675,818,862,974
BA,UBAITABA,1152,1272,1473,1574
BA,UBATA,1137,1156,1337,1433
BA,UIBAI,574,599,781,840
BA,UMBURANAS,397,425,673,831
BA,UNA,872,1067,1519,1416
BA,URANDI,789,803,932,1062
BA,URUCUCA,1167,1291,1422,1569
BA,UTINGA,797,816,991,1115
BA,VALENCA,6396,6727,8060,8317
BA,VALENTE,1453,1563,1864,1962
BA,VARZEA DA ROCA,391,414,501,596
BA,VARZEA DO POCO,322,355,549,425
BA,VARZEA NOVA,416,408,559,636
BA,VARZEDO,307,336,414,457
BA,VERA CRUZ,2771,2927,3380,3441
BA,VEREDA,200,212,276,298
BA,VITORIA DA CONQUISTA,38650,41603,48985,52232
BA,WAGNER,371,378,455,544
BA,WANDERLEY,505,518,614,644
BA,WENCESLAU GUIMARAES,525,558,646,744
BA,XIQUE-XIQUE,2109,2249,2889,3191
CE,ABAIARA,302,361,416,418
CE,ACARAPE,487,518,669,742
CE,ACARAU,2401,2496,3130,3331
CE,ACOPIARA,1652,1718,2012,2177
CE,AIUABA,455,456,564,629
CE,ALCANTARAS,466,550,779,895
CE,ALTANEIRA,291,309,355,390
CE,ALTO SANTO,528,662,780,891
CE,AMONTADA,1402,1572,1886,1964
CE,ANTONINA DO NORTE,319,350,375,404
CE,APUIARES,368,412,531,610
CE,AQUIRAZ,5221,5983,7136,7860
CE,ARACATI,4889,5296,6304,6656
CE,ARACOIABA,951,1015,1400,1376
