uf,municipio,d2018,d2019,d2020,d2021
AC,ACRELANDIA,651,694,708,774
AC,ASSIS BRASIL,425,433,447,530
AC,BRASILEIA,1618,1802,1771,2000
AC,BUJARI,417,485,512,551
AC,CAPIXABA,311,335,352,387
AC,CRUZEIRO DO SUL,6726,7088,7543,8151
AC,EPITACIOLANDIA,1063,1139,1229,1336
AC,FEIJO,1200,1315,1494,1533
AC,JORDAO,130,153,155,168
AC,MANCIO LIMA,674,742,810,895
AC,MANOEL URBANO,404,433,421,384
AC,MARECHAL THAUMATURGO,356,402,398,454
AC,PLACIDO DE CASTRO,970,1031,1121,1188
AC,PORTO ACRE,582,672,718,730
AC,PORTO WALTER,160,185,269,305
AC,RIO BRANCO,52537,54553,56196,59380
AC,RODRIGUES ALVES,353,365,491,518
AC,SANTA ROSA DO PURUS,179,166,183,247
AC,SENA MADUREIRA,2296,2324,2399,2413
AC,SENADOR GUIOMARD,1454,1473,1563,1717
AC,TARAUACA,1599,1715,1840,1946
AC,XAPURI,1100,1188,1292,1355
AL,AGUA BRANCA,569,630,689,786
AL,ANADIA,820,625,629,680
AL,ARAPIRACA,18505,19613,20655,22231
AL,ATALAIA,1179,1137,1200,1393
AL,BARRA DE SANTO ANTONIO,407,469,469,599
AL,BARRA DE SAO MIGUEL,458,459,502,636
AL,BATALHA,703,748,750,795
AL,BELEM,139,151,145,158
AL,BELO MONTE,112,127,114,153
AL,BOCA DA MATA,1032,1243,1217,1337
AL,BRANQUINHA,142,164,175,199
AL,CACIMBINHAS,354,355,367,406
AL,CAJUEIRO,603,626,597,638
AL,CAMPESTRE,212,225,240,273
AL,CAMPO ALEGRE,1092,1208,1298,1628
AL,CAMPO GRANDE,214,216,222,238
AL,CANAPI,329,357,363,417
AL,CAPELA,599,572,599,682
AL,CARNEIROS,213,224,248,304
AL,CHA PRETA,187,213,204,242
AL,COITE DO NOIA,299,304,333,367
AL,COLONIA LEOPOLDINA,570,623,636,694
AL,COQUEIRO SECO,244,258,263,297
AL,CORURIPE,2931,2939,2851,3357
AL,CRAIBAS,409,468,495,569
AL,DELMIRO GOUVEIA,2873,3032,3209,3699
AL,DOIS RIACHOS,268,298,297,337
AL,ESTRELA DE ALAGOAS,340,287,284,331
AL,FEIRA GRANDE,437,486,516,545
AL,FELIZ DESERTO,124,136,127,142
AL,FLEXEIRAS,147,174,214,253
AL,GIRAU DO PONCIANO,825,904,915,1026
AL,IBATEGUARA,332,357,374,394
AL,IGACI,651,670,700,754
AL,IGREJA NOVA,456,495,558,575
AL,INHAPI,276,316,344,378
AL,JACARE DOS HOMENS,122,128,145,165
AL,JACUIPE,167,181,198,220
AL,JAPARATINGA,264,275,341,341
AL,JARAMATAIA,144,154,158,167
AL,JEQUIA DA PRAIA,232,221,216,257
AL,JOAQUIM GOMES,413,434,479,472
AL,JUNDIA,104,121,133,154
AL,JUNQUEIRO,819,879,900,989
AL,LAGOA DA CANOA,463,510,535,595
AL,LIMOEIRO DE ANADIA,534,605,619,684
AL,MACEIO,136399,140603,144947,154458
AL,MAJOR ISIDORO,547,561,556,622
AL,MAR VERMELHO,106,109,132,144
AL,MARAGOGI,1201,1333,1380,1490
AL,MARAVILHA,334,365,373,461
AL,MARECHAL DEODORO,4240,4778,5132,5871
AL,MARIBONDO,415,460,502,537
AL,MATA GRANDE,897,807,796,795
AL,MATRIZ DE CAMARAGIBE,885,949,925,1004
AL,MESSIAS,403,399,433,512
AL,MINADOR DO NEGRAO,134,144,145,162
AL,MONTEIROPOLIS,173,166,177,196
AL,MURICI,868,867,893,998
AL,NOVO LINO,272,289,320,347
AL,OLHO DAGUA DAS FLORES,891,905,959,1062
AL,OLHO DAGUA DO CASADO,161,194,236,267
AL,OLHO DAGUA GRANDE,77,77,80,89
AL,OLIVENCA,216,234,245,253
AL,OURO BRANCO,378,428,398,463
AL,PALESTINA,141,164,154,175
AL,PALMEIRA DOS INDIOS,5146,5234,5358,5653
AL,PAO DE ACUCAR,955,1052,1093,1183
AL,PARICONHA,287,337,356,392
AL,PARIPUEIRA,558,598,679,771
AL,PASSO DE CAMARAGIBE,294,365,389,395
AL,PAULO JACINTO,177,194,200,228
AL,PENEDO,3870,4042,4254,4676
AL,PIACABUCU,580,605,594,680
AL,PILAR,1671,1766,1859,2135
AL,PINDOBA,70,69,70,76
AL,PIRANHAS,1136,1227,1304,1414
AL,POCO DAS TRINCHEIRAS,207,215,210,259
AL,PORTO CALVO,1159,1263,1286,1386
AL,PORTO DE PEDRAS,199,221,259,281
AL,PORTO REAL DO COLEGIO,517,556,580,693
AL,QUEBRANGULO,360,377,373,412
AL,RIO LARGO,3585,3905,4144,4769
AL,ROTEIRO,123,143,157,179
AL,SANTA LUZIA DO NORTE,318,362,364,370
AL,SANTANA DO IPANEMA,2207,2317,2446,2739
AL,SANTANA DO MUNDAU,211,254,279,318
AL,SAO BRAS,200,208,217,227
AL,SAO JOSE DA LAJE,932,967,1020,1288
AL,SAO JOSE DA TAPERA,968,1027,1103,1215
AL,SAO LUIS DO QUITUNDE,1066,1101,1182,1257
AL,SAO MIGUEL DOS CAMPOS,3394,3540,3787,4180
AL,SAO MIGUEL DOS MILAGRES,409,337,381,430
AL,SAO SEBASTIAO,845,881,954,1018
AL,SATUBA,918,1106,1335,1635
AL,SENADOR RUI PALMEIRA,210,209,218,257
AL,TANQUE DARCA,148,155,160,176
AL,TAQUARANA,556,574,612,622
AL,TEOTONIO VILELA,1687,1662,1773,2041
AL,TRAIPU,487,523,584,646
AL,UNIAO DOS PALMARES,2210,2350,2449,2881
AL,VICOSA,1103,1139,1161,1273
AM,ALVARAES,289,335,386,393
AM,AMATURA,207,288,312,401
AM,ANAMA,230,257,247,289
AM,ANORI,392,428,448,483
AM,APUI,855,900,989,1109
AM,ATALAIA DO NORTE,452,495,522,615
AM,AUTAZES,936,961,1015,1159
AM,BARCELOS,598,667,666,727
AM,BARREIRINHA,977,905,896,1072
AM,BENJAMIN CONSTANT,1115,1218,1291,1516
AM,BERURI,431,462,456,490
AM,BOA VISTA DO RAMOS,405,417,496,534
AM,BOCA DO ACRE,1462,1491,1556,1623
AM,BORBA,788,911,895,938
AM,CAAPIRANGA,248,282,323,358
AM,CANUTAMA,237,270,303,336
AM,CARAUARI,1000,1028,1098,1120
AM,CAREIRO,818,943,1052,1221
AM,CAREIRO DA VARZEA,394,445,446,500
AM,COARI,2676,2834,2974,3235
AM,CODAJAS,540,575,604,685
AM,EIRUNEPE,943,1031,1095,1341
AM,ENVIRA,439,460,473,622
AM,FONTE BOA,569,629,681,809
AM,GUAJARA,223,228,254,304
AM,HUMAITA,2892,3169,3513,3933
AM,IPIXUNA,338,347,354,378
AM,IRANDUBA,1593,1831,1976,2367
AM,ITACOATIARA,5185,5462,5841,6341
AM,ITAMARATI,205,202,258,294
AM,ITAPIRANGA,325,349,345,454
AM,JAPURA,172,206,229,250
AM,JURUA,254,288,321,330
AM,JUTAI,374,405,460,562
AM,LABREA,985,1134,1249,1482
AM,MANACAPURU,4541,4807,4927,5362
AM,MANAQUIRI,355,418,462,500
AM,MANAUS,257716,273703,290856,314572
AM,MANICORE,1367,1488,1682,1764
AM,MARAA,263,301,291,340
AM,MAUES,1608,1705,1734,1952
AM,NHAMUNDA,459,460,482,575
AM,NOVA OLINDA DO NORTE,533,568,598,685
AM,NOVO AIRAO,570,541,670,733
AM,NOVO ARIPUANA,520,526,587,613
AM,PARINTINS,5232,5530,5811,6283
AM,PAUINI,457,479,498,579
AM,PRESIDENTE FIGUEIREDO,2226,2253,2321,2525
AM,RIO PRETO DA EVA,831,937,984,1078
AM,SANTA ISABEL DO RIO NEGRO,266,297,353,379
AM,SANTO ANTONIO DO ICA,474,469,513,596
AM,SAO GABRIEL DA CACHOEIRA,2162,2407,2570,2744
AM,SAO PAULO DE OLIVENCA,663,742,798,1697
AM,SAO SEBASTIAO DO UATUMA,284,287,290,330
AM,SILVES,403,361,412,416
AM,TABATINGA,3181,3452,3626,3966
AM,TAPAUA,419,455,484,526
AM,TEFE,3212,3533,3713,4281
AM,TONANTINS,379,402,438,503
AM,UARINI,283,282,321,354
AM,URUCARA,553,598,614,736
AM,URUCURITUBA,438,493,500,623
AP,AMAPA,499,425,460,551
AP,CALCOENE,486,481,538,576
AP,CUTIAS,68,95,96,110
AP,FERREIRA GOMES,305,347,404,418
AP,ITAUBAL,104,115,125,172
AP,LARANJAL DO JARI,2754,2600,2645,2911
AP,MACAPA,58074,62193,65188,69628
AP,MAZAGAO,677,762,769,871
AP,OIAPOQUE,1731,1891,1908,2134
AP,PEDRA BRANCA DO AMAPARI,524,592,675,860
AP,PORTO GRANDE,963,981,1068,1196
AP,PRACUUBA,94,96,109,119
AP,SANTANA,9568,10286,10998,11810
AP,SERRA DO NAVIO,399,390,456,511
AP,TARTARUGALZINHO,319,335,370,424
AP,VITORIA DO JARI,593,653,587,638
BA,ABAIRA,242,273,281,320
BA,ABARE,450,446,427,511
BA,ACAJUTIBA,442,468,490,544
BA,ADUSTINA,361,349,402,419
BA,AGUA FRIA,393,410,450,452
BA,AIQUARA,162,173,185,225
BA,ALAGOINHAS,16050,16754,17781,18941
BA,ALCOBACA,852,918,968,992
BA,ALMADINA,200,221,219,234
BA,AMARGOSA,2109,2150,2252,2312
BA,AMELIA RODRIGUES,1432,1664,1613,1761
BA,AMERICA DOURADA,363,377,407,404
BA,ANAGE,425,451,431,464
BA,ANDARAI,365,368,416,447
BA,ANDORINHA,785,855,888,927
BA,ANGICAL,529,534,562,560
BA,ANGUERA,178,209,263,282
BA,ANTAS,496,527,549,601
BA,ANTONIO CARDOSO,129,144,151,154
BA,ANTONIO GONCALVES,304,294,305,348
BA,APORA,517,590,527,578
BA,APUAREMA,182,215,242,308
BA,ARACAS,400,467,486,541
BA,ARACATU,288,306,330,368
BA,ARACI,1799,1663,1753,1776
BA,ARAMARI,340,385,425,427
BA,ARATACA,269,245,230,274
BA,ARATUIPE,215,237,225,247
BA,AURELINO LEAL,342,358,372,401
BA,BAIANOPOLIS,504,527,590,634
BA,BAIXA GRANDE,672,988,735,818
BA,BANZAE,290,308,333,320
BA,BARRA,1869,1879,1929,2080
BA,BARRA DA ESTIVA,1392,1491,1526,1464
BA,BARRA DO CHOCA,826,893,968,1045
BA,BARRA DO MENDES,505,516,517,565
BA,BARRA DO ROCHA,133,155,164,197
BA,BARREIRAS,17114,18352,19604,20510
BA,BARRO ALTO,294,340,388,435
BA,BARRO PRETO,248,239,271,276
BA,BARROCAS,613,647,707,789
BA,BELMONTE,1106,1158,1173,1247
BA,BELO CAMPO,408,435,454,493
BA,BIRITINGA,354,386,407,417
BA,BOA NOVA,388,420,399,420
BA,BOA VISTA DO TUPIM,374,381,417,426
BA,BOM JESUS DA LAPA,4093,4280,4500,4763
BA,BOM JESUS DA SERRA,140,142,157,186
BA,BONINAL,298,334,334,358
BA,BONITO,375,370,411,476
BA,BOQUIRA,828,880,869,934
BA,BOTUPORA,266,278,296,320
BA,BREJOES,434,474,524,594
BA,BREJOLANDIA,178,187,191,155
BA,BROTAS DE MACAUBAS,358,406,392,428
BA,BRUMADO,5553,5748,6013,6351
BA,BUERAREMA,826,855,917,977
BA,BURITIRAMA,409,387,425,501
BA,CAATIBA,148,179,169,180
BA,CABACEIRAS DO PARAGUACU,360,391,394,453
BA,CACHOEIRA,1891,1878,1873,1975
BA,CACULE,1312,1323,1394,1466
BA,CAEM,259,272,276,312
BA,CAETANOS,232,195,265,324
BA,CAETITE,3172,3330,3479,3803
BA,CAFARNAUM,511,570,582,740
BA,CAIRU,661,719,696,721
BA,CALDEIRAO GRANDE,225,226,255,276
BA,CAMACAN,1698,1686,1668,1725
BA,CAMACARI,32746,34715,37374,39789
BA,CAMAMU,1534,1576,1514,1428
BA,CAMPO ALEGRE DE LOURDES,551,672,730,749
BA,CAMPO FORMOSO,3375,3380,3559,3851
BA,CANAPOLIS,185,213,221,201
BA,CANARANA,689,698,727,806
BA,CANAVIEIRAS,1786,1765,1816,1962
BA,CANDEAL,260,279,285,290
BA,CANDEIAS,8200,8969,10084,9834
BA,CANDIBA,409,431,447,477
BA,CANDIDO SALES,1018,950,910,996
BA,CANSANCAO,814,854,885,956
BA,CANUDOS,488,514,520,541
BA,CAPELA DO ALTO ALEGRE,318,367,379,444
BA,CAPIM GROSSO,1442,1460,1575,1700
BA,CARAIBAS,112,128,129,136
BA,CARAVELAS,1035,1113,1139,1247
BA,CARDEAL DA SILVA,262,311,341,388
BA,CARINHANHA,1035,1067,1075,1075
BA,CASA NOVA,2138,2151,2259,2384
BA,CASTRO ALVES,972,1013,1050,1135
BA,CATOLANDIA,100,115,114,116
BA,CATU,5097,5532,5778,6039
BA,CATURAMA,91,105,104,159
BA,CENTRAL,463,542,522,545
BA,CHORROCHO,322,346,343,387
BA,CICERO DANTAS,1258,1272,1326,1389
BA,CIPO,905,977,1014,1048
BA,COARACI,1251,1282,1309,1375
BA,COCOS,639,711,916,989
BA,CONCEICAO DA FEIRA,954,941,959,1095
BA,CONCEICAO DO ALMEIDA,606,626,675,738
BA,CONCEICAO DO COITE,2844,2947,3117,3450
BA,CONCEICAO DO JACUIPE,2212,2434,2508,2726
BA,CONDE,904,890,900,954
BA,CONDEUBA,559,605,667,750
BA,CONTENDAS DO SINCORA,146,159,157,205
BA,CORACAO DE MARIA,944,1006,1046,1164
BA,CORDEIROS,209,234,230,255
BA,CORIBE,559,556,578,583
BA,CORONEL JOAO SA,316,372,432,563
BA,CORRENTINA,1790,2024,2171,2344
BA,COTEGIPE,395,389,404,420
BA,CRAVOLANDIA,160,163,178,198
BA,CRISOPOLIS,450,444,474,471
BA,CRISTOPOLIS,278,281,310,401
BA,CRUZ DAS ALMAS,5172,5372,5442,5687
BA,CURACA,927,1017,1155,1203
BA,DARIO MEIRA,252,284,302,344
BA,DIAS DAVILA,6629,7111,7536,7758
BA,DOM BASILIO,358,390,410,512
BA,DOM MACEDO COSTA,132,148,133,156
BA,ELISIO MEDRADO,229,262,281,257
BA,ENCRUZILHADA,352,396,409,413
BA,ENTRE RIOS,2286,2355,2453,2724
BA,ERICO CARDOSO,155,181,190,225
BA,ESPLANADA,1425,1515,1546,1720
BA,EUCLIDES DA CUNHA,2668,2784,2857,2936
BA,EUNAPOLIS,11757,12235,12574,13261
BA,FATIMA,447,476,499,560
BA,FEIRA DA MATA,166,142,148,155
BA,FEIRA DE SANTANA,64872,68017,72224,75068
BA,FILADELFIA,483,546,569,674
BA,FIRMINO ALVES,180,182,203,216
BA,FLORESTA AZUL,418,412,392,442
BA,FORMOSA DO RIO PRETO,1418,1472,1584,1776
BA,GANDU,1962,2061,1997,2083
BA,GAVIAO,95,124,125,134
BA,GENTIO DO OURO,202,223,258,308
BA,GLORIA,366,426,446,534
BA,GONGOGI,179,194,182,213
BA,GOVERNADOR MANGABEIRA,810,900,939,1001
BA,GUAJERU,125,153,177,202
BA,GUANAMBI,7771,7862,8471,8900
BA,GUARATINGA,740,741,754,793
BA,HELIOPOLIS,359,379,385,476
BA,IACU,1164,1254,1330,1256
BA,IBIASSUCE,414,412,429,466
BA,IBICARAI,1782,1756,1772,1813
BA,IBICOARA,1027,1053,1124,1214
BA,IBICUI,601,595,663,692
BA,IBIPEBA,378,408,396,444
BA,IBIPITANGA,388,390,370,430
BA,IBIQUERA,96,98,115,130
BA,IBIRAPITANGA,676,743,769,749
BA,IBIRAPUA,483,536,575,645
BA,IBIRATAIA,856,896,923,957
BA,IBITIARA,402,376,396,422
BA,IBITITA,432,445,503,536
BA,IBOTIRAMA,1520,1630,1702,1855
BA,ICHU,213,239,261,254
BA,IGAPORA,562,587,628,721
BA,IGRAPIUNA,276,277,288,290
BA,IGUAI,835,837,840,885
BA,ILHEUS,19016,19605,20454,21875
BA,INHAMBUPE,1123,1177,1227,1427
BA,IPECAETA,123,133,138,153
BA,IPIAU,3521,3542,3779,4225
BA,IPIRA,2252,2396,2524,2701
BA,IPUPIARA,412,477,476,457
BA,IRAJUBA,205,217,206,218
BA,IRAMAIA,343,370,390,423
BA,IRAQUARA,779,802,824,867
BA,IRARA,1173,1221,1329,1384
BA,IRECE,6376,6804,7170,7328
BA,ITABELA,1498,1557,1609,1704
BA,ITABERABA,4666,4954,5343,5460
BA,ITABUNA,26698,26695,27473,28243
BA,ITACARE,1087,1171,1179,1293
BA,ITAETE,486,534,554,585
BA,ITAGI,414,440,454,507
BA,ITAGIBA,706,701,777,918
BA,ITAGIMIRIM,377,447,474,428
BA,ITAGUACU DA BAHIA,181,198,205,256
BA,ITAJU DO COLONIA,201,193,192,211
BA,ITAJUIPE,1125,1131,1199,1221
BA,ITAMARAJU,5110,5187,5102,5223
BA,ITAMARI,307,272,306,315
BA,ITAMBE,808,840,941,1048
BA,ITANAGRA,132,152,158,173
BA,ITANHEM,720,820,741,786
BA,ITAPARICA,981,1058,1104,1281
BA,ITAPE,396,391,402,412
BA,ITAPEBI,473,549,659,647
BA,ITAPETINGA,5259,5368,5577,5777
BA,ITAPICURU,576,606,631,591
BA,ITAPITANGA,283,290,321,325
BA,ITAQUARA,195,203,218,224
BA,ITARANTIM,740,782,750,823
BA,ITATIM,498,562,598,648
BA,ITIRUCU,484,503,491,527
BA,ITIUBA,940,994,1040,1086
BA,ITORORO,959,972,1022,915
BA,ITUACU,711,769,792,900
BA,ITUBERA,1157,1229,1270,1368
BA,IUIU,345,391,337,402
BA,JABORANDI,391,397,443,511
BA,JACARACI,345,368,399,421
BA,JACOBINA,6603,6981,7233,7809
BA,JAGUAQUARA,2387,2398,2474,2595
BA,JAGUARARI,2567,2872,3196,3397
BA,JAGUARIPE,260,276,301,329
BA,JANDAIRA,247,252,248,266
BA,JEQUIE,14969,15664,16638,16850
BA,JEREMOABO,1322,1405,1523,1659
BA,JIQUIRICA,420,438,480,490
BA,JITAUNA,460,488,518,567
BA,JOAO DOURADO,846,858,920,973
BA,JUAZEIRO,16837,17789,19225,21110
BA,JUCURUCU,178,185,218,230
BA,JUSSARA,411,437,429,449
BA,JUSSARI,238,247,242,256
BA,JUSSIAPE,336,358,391,400
BA,LAFAIETE COUTINHO,130,148,158,180
BA,LAGOA REAL,150,168,186,230
BA,LAJE,446,482,521,561
BA,LAJEDAO,210,212,230,260
BA,LAJEDINHO,83,86,97,110
BA,LAJEDO DO TABOCAL,205,200,217,274
BA,LAMARAO,140,151,169,193
BA,LAPAO,840,868,860,941
BA,LAURO DE FREITAS,34352,36563,38447,41332
BA,LENCOIS,616,628,682,699
BA,LICINIO DE ALMEIDA,570,563,564,558
BA,LIVRAMENTO DE NOSSA SENHORA,2244,2267,2372,2545
BA,LUIS EDUARDO MAGALHAES,10518,11517,12415,14130
BA,MACAJUBA,426,434,428,421
BA,MACARANI,606,612,653,679
BA,MACAUBAS,1656,1736,1846,2001
BA,MACURURE,184,185,164,186
BA,MADRE DE DEUS,2296,2328,2435,2498
BA,MAETINGA,119,129,145,149
BA,MAIQUINIQUE,275,317,333,372
BA,MAIRI,482,518,507,583
BA,MALHADA,258,334,329,361
BA,MALHADA DE PEDRAS,144,170,186,204
BA,MANOEL VITORINO,390,391,384,420
BA,MANSIDAO,217,234,270,303
BA,MARACAS,1672,1644,1762,1930
BA,MARAGOGIPE,1385,1437,1418,1447
BA,MARAU,610,688,726,681
BA,MARCIONILIO SOUZA,336,321,331,358
BA,MASCOTE,396,406,411,462
BA,MATA DE SAO JOAO,3511,3832,4051,4163
BA,MATINA,223,232,245,256
BA,MEDEIROS NETO,1560,1638,1693,1812
BA,MIGUEL CALMON,858,913,929,998
BA,MILAGRES,396,418,409,503
BA,MIRANGABA,282,321,326,333
BA,MIRANTE,186,177,209,235
BA,MONTE SANTO,1155,1156,1206,1255
BA,MORPARA,199,224,232,256
BA,MORRO DO CHAPEU,1322,1365,1415,1488
BA,MORTUGABA,311,310,316,378
BA,MUCUGE,618,615,637,655
BA,MUCURI,2963,3063,3389,3681
BA,MULUNGU DO MORRO,201,212,209,262
BA,MUNDO NOVO,542,570,616,666
BA,MUNIZ FERREIRA,191,201,209,215
BA,MUQUEM DE SAO FRANCISCO,158,166,202,213
BA,MURITIBA,1695,1821,1886,2013
BA,MUTUIPE,816,850,898,985
BA,NAZARE,1830,1854,1927,1982
BA,NILO PECANHA,265,281,280,283
BA,NORDESTINA,300,327,391,448
BA,NOVA CANAA,415,427,431,471
BA,NOVA FATIMA,286,303,326,384
BA,NOVA IBIA,142,141,129,162
BA,NOVA ITARANA,107,116,115,135
BA,NOVA REDENCAO,146,184,200,240
BA,NOVA SOURE,664,715,771,789
BA,NOVA VICOSA,2613,2797,2915,3168
BA,NOVO HORIZONTE,194,175,198,223
BA,NOVO TRIUNFO,271,283,309,364
BA,OLINDINA,738,820,825,844
BA,OLIVEIRA DOS BREJINHOS,621,693,712,793
BA,OURICANGAS,206,228,246,305
BA,OUROLANDIA,506,498,504,577
BA,PALMAS DE MONTE ALTO,546,560,604,726
BA,PALMEIRAS,476,502,532,585
BA,PARAMIRIM,773,855,893,979
BA,PARATINGA,732,823,842,881
BA,PARIPIRANGA,1455,1298,1373,1457
BA,PAU BRASIL,409,417,453,477
BA,PAULO AFONSO,10463,10586,11205,12020
BA,PE DE SERRA,320,381,392,425
BA,PEDRAO,131,141,140,146
BA,PEDRO ALEXANDRE,298,315,312,352
BA,PIATA,506,547,599,708
BA,PILAO ARCADO,686,805,852,936
BA,PINDAI,519,556,561,595
BA,PINDOBACU,492,489,509,577
BA,PINTADAS,305,326,406,410
BA,PIRAI DO NORTE,198,202,215,242
BA,PIRIPA,203,220,241,284
BA,PIRITIBA,626,673,700,724
BA,PLANALTINO,251,235,240,242
BA,PLANALTO,574,628,681,742
BA,POCOES,2299,2434,2536,2681
BA,POJUCA,3414,3697,3912,4164
BA,PONTO NOVO,338,358,389,421
BA,PORTO SEGURO,12268,13282,14020,14716
BA,POTIRAGUA,316,340,320,352
BA,PRADO,1653,1727,1791,1901
BA,PRESIDENTE DUTRA,502,542,559,580
BA,PRESIDENTE JANIO QUADROS,211,245,248,256
BA,PRESIDENTE TANCREDO NEVES,930,825,862,962
BA,QUEIMADAS,728,733,829,915
BA,QUIJINGUE,520,558,600,642
BA,QUIXABEIRA,156,178,199,245
BA,RAFAEL JAMBEIRO,413,446,445,496
BA,REMANSO,1479,1665,1593,1737
BA,RETIROLANDIA,505,499,529,543
BA,RIACHAO DAS NEVES,586,599,695,785
BA,RIACHAO DO JACUIPE,1573,1659,1747,1947
BA,RIACHO DE SANTANA,1147,1270,1318,1386
BA,RIBEIRA DO AMPARO,251,256,272,314
BA,RIBEIRA DO POMBAL,3014,3239,3190,3478
BA,RIBEIRAO DO LARGO,119,135,160,180
BA,RIO DE CONTAS,694,736,663,683
BA,RIO DO ANTONIO,505,532,540,560
BA,RIO DO PIRES,351,364,376,400
BA,RIO REAL,1217,1344,1387,1463
BA,RODELAS,364,379,403,426
BA,RUY BARBOSA,1764,1738,1793,1861
BA,SALINAS DA MARGARIDA,550,518,534,581
BA,SALVADOR,452219,468299,477947,495467
BA,SANTA BARBARA,589,609,644,646
BA,SANTA BRIGIDA,289,323,295,315
BA,SANTA CRUZ CABRALIA,1580,1642,1722,1882
BA,SANTA CRUZ DA VITORIA,165,166,174,216
BA,SANTA INES,384,419,433,476
BA,SANTA LUZIA,376,374,363,401
BA,SANTA MARIA DA VITORIA,2634,2715,2811,2999
BA,SANTA RITA DE CASSIA,792,888,903,1055
BA,SANTA TERESINHA,259,285,299,329
BA,SANTALUZ,1291,1291,1384,1503
BA,SANTANA,1141,1188,1196,1207
BA,SANTANOPOLIS,231,231,252,277
BA,SANTO AMARO,3880,4130,4179,4284
BA,SANTO ANTONIO DE JESUS,8207,8562,8958,9771
BA,SANTO ESTEVAO,2006,2113,2260,2436
BA,SAO DESIDERIO,1367,1537,1757,1994
BA,SAO DOMINGOS,316,294,332,337
BA,SAO FELIPE,699,719,741,782
BA,SAO FELIX,515,535,567,623
BA,SAO FELIX DO CORIBE,923,890,913,942
BA,SAO FRANCISCO DO CONDE,3212,3763,4148,4391
BA,SAO GABRIEL,529,600,634,656
BA,SAO GONCALO DOS CAMPOS,1575,1736,1920,2106
BA,SAO JOSE DA VITORIA,142,159,153,179
BA,SAO JOSE DO JACUIPE,206,249,274,297
BA,SAO MIGUEL DAS MATAS,201,206,215,231
BA,SAO SEBASTIAO DO PASSE,2845,2993,3118,3314
BA,SAPEACU,625,667,741,793
BA,SATIRO DIAS,421,490,445,432
BA,SAUBARA,385,419,454,457
BA,SAUDE,296,297,316,347
BA,SEABRA,2461,2644,2744,2850
BA,SEBASTIAO LARANJEIRAS,316,326,321,371
BA,SENHOR DO BONFIM,6428,6476,6749,7016
BA,SENTO SE,844,925,1044,1186
BA,SERRA DO RAMALHO,856,844,955,1070
BA,SERRA DOURADA,485,516,518,524
BA,SERRA PRETA,342,359,392,427
BA,SERRINHA,5497,5906,6295,6431
BA,SERROLANDIA,352,377,414,446
BA,SIMOES FILHO,9471,10259,10541,11405
BA,SITIO DO MATO,131,139,158,175
BA,SITIO DO QUINTO,320,330,358,406
BA,SOBRADINHO,1183,1278,1330,1545
BA,SOUTO SOARES,292,330,356,398
BA,TABOCAS DO BREJO VELHO,346,325,354,356
BA,TANHACU,691,731,772,879
BA,TANQUE NOVO,785,829,833,891
BA,TANQUINHO,327,346,366,379
BA,TAPEROA,562,598,628,677
BA,TAPIRAMUTA,359,378,407,443
BA,TEIXEIRA DE FREITAS,13217,13718,14323,15575
BA,TEODORO SAMPAIO,280,304,322,335
BA,TEOFILANDIA,1071,1108,1154,1209
BA,TEOLANDIA,362,366,373,395
BA,TERRA NOVA,417,467,491,534
BA,TREMEDAL,345,336,342,367
BA,TUCANO,2009,2075,2237,2436
BA,UAUA,1114,1194,1217,1291
BA,UBAIRA,620,612,616,675
BA,UBAITABA,1096,1085,1126,1152
BA,UBATA,1093,1119,1063,1137
BA,UIBAI,462,487,544,574
BA,UMBURANAS,333,330,289,397
BA,UNA,782,797,802,872
BA,URANDI,710,720,729,789
BA,URUCUCA,986,1028,1052,1167
BA,UTINGA,691,769,740,797
BA,VALENCA,5820,5987,6219,6396
BA,VALENTE,1305,1207,1317,1453
BA,VARZEA DA ROCA,393,371,402,391
BA,VARZEA DO POCO,284,290,284,322
BA,VARZEA NOVA,326,345,356,416
BA,VARZEDO,226,244,275,307
BA,VERA CRUZ,2319,2504,2563,2771
BA,VEREDA,198,206,218,200
BA,VITORIA DA CONQUISTA,32534,34259,36921,38650
BA,WAGNER,277,303,329,371
BA,WANDERLEY,415,407,444,505
BA,WENCESLAU GUIMARAES,489,494,498,525
BA,XIQUE-XIQUE,1963,1967,1972,2109
CE,ABAIARA,231,256,261,302
CE,ACARAPE,403,382,404,487
CE,ACARAU,1806,1955,2004,2401
CE,ACOPIARA,1707,1695,1653,1652
CE,AIUABA,341,415,397,455
CE,ALCANTARAS,375,409,462,466
CE,ALTANEIRA,280,268,293,291
CE,ALTO SANTO,452,469,485,528
CE,AMONTADA,1171,1265,1301,1402
CE,ANTONINA DO NORTE,312,315,300,319
CE,APUIARES,376,311,322,368
CE,AQUIRAZ,3821,4140,4554,5221
CE,ARACATI,3985,4277,4370,4889
CE,ARACOIABA,731,798,819,951
CE,ARARENDA,241,276,248,272
CE,ARARIPE,542,569,601,661
CE,ARATUBA,236,422,276,326
CE,ARNEIROZ,194,186,177,197
CE,ASSARE,745,738,829,880
CE,AURORA,719,769,759,785
CE,BAIXIO,186,307,234,253
CE,BANABUIU,508,556,616,675
CE,BARBALHA,3672,3982,4244,4725
CE,BARREIRA,543,568,669,791
CE,BARRO,685,724,711,769
CE,BARROQUINHA,360,364,360,359
CE,BATURITE,1670,1706,1787,1901
CE,BEBERIBE,1778,1847,1877,2092
